City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Coquimbo,CL,2021-04-01 21:22:33,-29.9533,-71.3436,64.4,68,0,11.5
242,Mount Gambier,AU,2021-04-01 21:22:33,-37.8333,140.7667,57.2,67,6,6.91
243,Chuy,UY,2021-04-01 21:22:34,-33.6971,-53.4616,66.11,67,62,7.94
244,Yuanping,CN,2021-04-01 21:22:34,38.7153,112.7575,44.4,86,100,0.69
245,Ugoofaaru,MV,2021-04-01 21:21:14,5.6667,73.0,83.75,77,100,10.56
246,Suclayin,PH,2021-04-01 21:22:34,15.7568,121.5503,72.66,93,99,1.9
247,Carnarvon,AU,2021-04-01 21:22:35,-24.8667,113.6333,75.2,94,40,3.44
248,Cookeville,US,2021-04-01 21:22:35,36.1628,-85.5016,44.6,36,40,9.22
249,Loiza,PR,2021-04-01 21:22:35,18.4313,-65.8802,82.4,65,20,16.11
250,Sao Paulo De Olivenca,BR,2021-04-01 21:22:36,-3.3783,-68.8725,81.61,83,92,2.15
251,Hambantota,LK,2021-04-01 21:22:36,6.1241,81.1185,79.25,82,24,14.79
252,Harper,LR,2021-04-01 21:22:36,4.375,-7.7169,79.12,87,25,9.26
253,Pevek,RU,2021-04-01 21:21:03,69.7008,170.3133,-14.13,95,54,3.04
254,Hearst,CA,2021-04-01 21:22:37,49.6835,-83.6665,30.2,19,17,5.75
255,Burnie,AU,2021-04-01 21:22:37,-41.0667,145.9167,60.15,81,100,4.65
256,Padang,ID,2021-04-01 21:22:37,-0.9492,100.3543,75.2,88,40,1.14
257,Sosnovoborsk,RU,2021-04-01 21:22:37,56.1325,93.3589,28.4,69,0,8.95
258,Jetafe,PH,2021-04-01 21:22:38,10.1472,124.1539,78.8,83,75,4.61
259,Lorengau,PG,2021-04-01 21:22:14,-2.0226,147.2712,81.48,79,99,4.56
260,Kavieng,PG,2021-04-01 21:22:38,-2.5744,150.7967,82.0,78,99,9.15
261,Sainte-Marie,RE,2021-04-01 21:22:38,-20.8968,55.5496,73.4,83,0,3.44
262,Alofi,NU,2021-04-01 21:20:26,-19.0595,-169.9187,84.2,74,40,13.8
263,Fairbanks,US,2021-04-01 21:21:58,64.8378,-147.7164,10.0,66,1,9.22
264,Hovd,MN,2021-04-01 21:22:39,48.0056,91.6419,26.55,56,77,4.03
265,San Vicente,AR,2021-04-01 21:22:39,-26.6167,-54.1333,68.97,51,28,4.52
266,Bulata,PH,2021-04-01 21:22:40,9.8599,122.4016,80.1,79,100,11.77
267,Severo-Kurilsk,RU,2021-04-01 21:22:40,50.6789,156.125,31.41,92,83,16.17
268,Alekseyevsk,RU,2021-04-01 21:22:40,57.8406,108.3492,-2.65,100,95,2.55
269,Teofilo Otoni,BR,2021-04-01 21:19:45,-17.8575,-41.5053,76.14,82,45,3.47
270,Noamundi,IN,2021-04-01 21:22:41,22.15,85.5333,71.62,54,2,2.13
271,Naryan-Mar,RU,2021-04-01 21:22:41,67.6713,53.087,24.24,98,99,1.28
272,Concepcion,CL,2021-04-01 21:22:41,-36.827,-73.0498,64.4,72,0,10.36
273,Kamina,CD,2021-04-01 21:22:42,-8.7386,24.9906,64.35,94,33,2.24
274,Nagato,JP,2021-04-01 21:22:42,34.3833,131.2,60.8,48,75,9.22
275,Aberdeen,GB,2021-04-01 21:22:42,57.1437,-2.0981,36.0,86,0,1.14
276,Creston,US,2021-04-01 21:22:42,41.0586,-94.3614,46.4,27,1,3.85
277,Tuatapere,NZ,2021-04-01 21:22:43,-46.1333,167.6833,55.99,76,100,15.01
278,Saint George,US,2021-04-01 21:21:01,37.1041,-113.5841,77.0,8,1,5.75
279,Grand-Santi,GF,2021-04-01 21:22:43,4.25,-54.3833,77.61,89,93,4.94
280,Tabou,CI,2021-04-01 21:22:44,4.423,-7.3528,79.95,84,48,9.57
281,Prince George,CA,2021-04-01 21:22:44,53.9166,-122.753,44.01,28,20,16.11
282,Suluq,LY,2021-04-01 21:22:44,31.6682,20.2521,56.66,54,0,6.13
283,Bonfim,BR,2021-04-01 21:22:45,3.0833,-59.95,94.96,30,99,4.0
284,Chulman,RU,2021-04-01 21:22:45,56.8479,124.9104,7.57,96,91,1.83
285,Norrtalje,SE,2021-04-01 21:22:45,59.758,18.705,39.0,65,0,4.61
286,Merrill,US,2021-04-01 21:22:46,45.1805,-89.6835,39.2,28,1,6.91
287,Biak,ID,2021-04-01 21:22:46,-0.9131,122.8766,77.72,81,99,2.28
288,Vostok,RU,2021-04-01 21:22:46,46.4856,135.8833,24.48,84,49,4.83
289,Saint-Philippe,RE,2021-04-01 21:21:20,-21.3585,55.7679,77.0,73,90,9.22
290,Thunder Bay,CA,2021-04-01 21:20:33,48.4001,-89.3168,37.4,35,1,16.11
291,Oistins,BB,2021-04-01 21:20:19,13.0667,-59.5333,80.6,54,20,19.57
292,Chany,RU,2021-04-01 21:22:47,55.3121,76.7647,20.59,82,100,17.98
